serial,production_date,shipment_part_serial
10418D1506118980,2015年/第6週,BC4DFB659600
10418D1506115720,2015年/第6週,BC4DFB659670
10418D1506118940,2015年/第6週,BC4DFB659750
10418D1506118947,2015年/第6週,BC4DFB659710
10418D1506113669,2015年/第6週,BC4DFB659940
10418D1506118998,2015年/第6週,BC4DFB6590E0
10418D1506117842,2015年/第6週,BC4DFB65BEB0
10418D1506116049,2015年/第6週,BC4DFB6590C0
10418D1506118989,2015年/第6週,BC4DFB65B480
10418D1506117883,2015年/第6週,BC4DFB65B5B0
10418D1506117937,2015年/第6週,BC4DFB659160
10418D1506116071,2015年/第6週,BC4DFB659080
10418D1506119632,2015年/第6週,BC4DFB65C1E0
10418D1506118991,2015年/第6週,BC4DFB659140
10418D1506118958,2015年/第6週,BC4DFB659170
10418D1506116065,2015年/第6週,BC4DFB6591E0
10418D1506117925,2015年/第6週,BC4DFB6590A0
10418D1506118985,2015年/第6週,BC4DFB65DCC0
10418D1506116136,2015年/第6週,BC4DFB65FDF0
10418D1506118996,2015年/第6週,BC4DFB65B3E0
10418D1506118994,2015年/第6週,BC4DFB660CD0
10418D1506118986,2015年/第6週,BC4DFB661230
10418D1506119045,2015年/第6週,BC4DFB660F00
10418D1506117921,2015年/第6週,BC4DFB65F930
10418D1506119611,2015年/第6週,BC4DFB65FF90
10418D1506119613,2015年/第6週,BC4DFB660100
10418D1506116128,2015年/第6週,BC4DFB660BA0
10418D1506119023,2015年/第6週,BC4DFB661120
10418D1506118953,2015年/第6週,BC4DFB660710
10418D1506119617,2015年/第6週,BC4DFB6606E0
10418D1506119030,2015年/第6週,BC4DFB65E8D0
10418D1506117877,2015年/第6週,BC4DFB660960
10418D1506117936,2015年/第6週,BC4DFB661260
10418D1506119001,2015年/第6週,BC4DFB661290
10418D1506116127,2015年/第6週,BC4DFB660A90
10418D1506119642,2015年/第6週,BC4DFB666400
10418D1506117849,2015年/第6週,BC4DFB661A10
10418D1506119614,2015年/第6週,BC4DFB662E20
10418D1506119034,2015年/第6週,BC4DFB665AD0
10418D1506119631,2015年/第6週,BC4DFB667DE0
10418D1506113694,2015年/第6週,BC4DFB6686D0
10418D1506113328,2015年/第6週,BC4DFB669440
10418D1506116075,2015年/第6週,BC4DFB666920
10418D1506113667,2015年/第6週,BC4DFB666E80
10418D1506116076,2015年/第6週,BC4DFB669500
10418D1506116070,2015年/第6週,BC4DFB668E90
10418D1506119028,2015年/第6週,BC4DFB668DF0
10418D1506119011,2015年/第6週,BC4DFB6698E0
10418D1506113701,2015年/第6週,BC4DFB668900
10418D1506116054,2015年/第6週,BC4DFB668FB0
10418D1506113703,2015年/第6週,BC4DFB668950
10418D1506116132,2015年/第6週,BC4DFB66E2B0
10418D1506119643,2015年/第6週,BC4DFB66DCD0
10418D1506117934,2015年/第6週,BC4DFB66E1E0
10418D1506119606,2015年/第6週,BC4DFB66E220
10418D1506116110,2015年/第6週,BC4DFB66DFC0
10418D1506119021,2015年/第6週,BC4DFB66E0F0
10418D1506118984,2015年/第6週,BC4DFB66DE60
10418D1506116126,2015年/第6週,BC4DFB66DD60
10418D1506118997,2015年/第6週,BC4DFB66E140
10418D1506113342,2015年/第6週,BC4DFB66F810
10418D1506118987,2015年/第6週,BC4DFB66F070
10418D1506116134,2015年/第6週,BC4DFB66DD30
10418D1506117875,2015年/第6週,BC4DFB66E940
10418D1506116050,2015年/第6週,BC4DFB66E8A0
10418D1506116064,2015年/第6週,BC4DFB66F250
10418D1506113668,2015年/第6週,BC4DFB66E910
10418D1506119573,2015年/第6週,BC4DFB66EC30
10418D1506118993,2015年/第6週,BC4DFB66E830
10418D1506119009,2015年/第6週,BC4DFB66ECF0
10418D1506116048,2015年/第6週,BC4DFB66E660
10418D1506118988,2015年/第6週,BC4DFB66F1B0
10418D1506116131,2015年/第6週,BC4DFB66EC90
10418D1506115728,2015年/第6週,BC4DFB66EE10
10418D1506119035,2015年/第6週,BC4DFB676C20
10418D1506119609,2015年/第6週,BC4DFB676D70
10418D1506117878,2015年/第6週,BC4DFB677A30
10418D1506119612,2015年/第6週,BC4DFB677D30
10418D1506119641,2015年/第6週,BC4DFB676C60
10418D1506119029,2015年/第6週,BC4DFB6776A0
10418D1506115716,2015年/第6週,BC4DFB677700
10418D1506186636,2015年/第6週,BC4DFB658C10
10418D1506112245,2015年/第6週,BC4DFB65D610
10418D1506120632,2015年/第6週,BC4DFB65D4A0
10418D1506120629,2015年/第6週,BC4DFB65D4C0
10418D1506112246,2015年/第6週,BC4DFB65D5B0
10418D1506120608,2015年/第6週,BC4DFB65BD20
10418D1506120631,2015年/第6週,BC4DFB65D710
10418D1506112263,2015年/第6週,BC4DFB65C3F0
10418D1506120628,2015年/第6週,BC4DFB65B670
10418D1506112271,2015年/第6週,BC4DFB65BE80
10418D1506112272,2015年/第6週,BC4DFB65C680
10418D1506112282,2015年/第6週,BC4DFB65B610
10418D1506120627,2015年/第6週,BC4DFB65CB30
10418D1506112273,2015年/第6週,BC4DFB65CD50
10418D1506112270,2015年/第6週,BC4DFB65CA60
10418D1506112253,2015年/第6週,BC4DFB65DA20
10418D1506190771,2015年/第6週,BC4DFB65E170
10418D1506112250,2015年/第6週,BC4DFB65CAE0
